"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","score"
0,2.86173857960046,0.715,0.136,0,"Radial glia","LINC01965",1.65694663758866
0,2.36237434423794,0.969,0.289,0,"Radial glia","CREB5",1.6064145540818
0,2.31050251360733,0.912,0.273,0,"Radial glia","SHROOM3",1.47641110619509
0,2.18882844718855,0.865,0.244,0,"Radial glia","SOX6",1.35926246570409
0,2.54958694088413,0.699,0.167,0,"Radial glia","SLC1A3",1.35638025255036
0,2.47035217540783,0.698,0.162,0,"Radial glia","ADAMTS6",1.3241087660186
0,2.19384426441847,0.797,0.23,0,"Radial glia","UTRN",1.24390969792527
0,1.92030229758318,0.971,0.361,0,"Radial glia","GLI3",1.17138440152574
0,2.28014279713517,0.691,0.185,0,"Radial glia","PREX2",1.1537522553504
0,2.90101994613043,0.487,0.09,0,"Radial glia","SAMD4A",1.15170491861378
0,2.1070170542523,0.818,0.274,0,"Radial glia","PTPRM",1.14621727751325
0,1.84099516227031,0.961,0.368,0,"Radial glia","FBXL7",1.0917101312263
0,2.33959817791164,0.615,0.152,0,"Radial glia","YAP1",1.08323395637309
0,2.06432428532083,0.732,0.211,0,"Radial glia","KIAA1217",1.07551295265215
0,2.42187088684017,0.596,0.152,0,"Radial glia","PLCE1",1.07531067375703
0,2.4585421579421,0.564,0.129,0,"Radial glia","LINC01515",1.06946583870481
0,1.96701376401965,0.814,0.272,0,"Radial glia","GULP1",1.06612146009865
0,2.43147266446495,0.576,0.139,0,"Radial glia","PLPP3",1.06255355437118
0,2.46343906867738,0.568,0.137,0,"Radial glia","ABCC4",1.06174223859995
0,2.14285399152316,0.682,0.2,0,"Radial glia","HS6ST2",1.03285562391416
0,2.03988953645051,0.763,0.263,0,"Radial glia","HES1",1.01994476822526
0,1.99517948068724,0.782,0.274,0,"Radial glia","AL589740.1",1.01355117618912
0,2.53259293523158,0.509,0.112,0,"Radial glia","MEGF10",1.00543939528694
0,2.23038558132765,0.588,0.147,0,"Radial glia","STK3",0.983600041365493
0,1.82716790681025,0.822,0.285,0,"Radial glia","COL4A5",0.981189165957104
0,2.79816772517713,0.431,0.081,0,"Radial glia","PRDM16",0.979358703811996
0,2.3078939974731,0.572,0.148,0,"Radial glia","PDGFD",0.978547054928594
0,1.77148166380574,0.858,0.314,0,"Radial glia","ZFHX4",0.96368602511032
0,2.14756854644225,0.627,0.181,0,"Radial glia","LTBP1",0.957815571713246
0,2.78691343646092,0.413,0.079,0,"Radial glia","VEPH1",0.930829087777946
0,1.84542139153543,0.744,0.242,0,"Radial glia","MIR924HG",0.926401538550788
0,2.03700968890435,0.655,0.201,0,"Radial glia","BOC",0.924802398762573
0,2.41099682655091,0.51,0.128,0,"Radial glia","SEMA5A",0.921000787742447
0,1.84325178299503,0.774,0.283,0,"Radial glia","DOK5",0.905036625450558
0,1.81645334343404,0.804,0.311,0,"Radial glia","CDH12",0.895511498312984
0,2.61098122332346,0.426,0.089,0,"Radial glia","GPR156",0.879900672260005
0,2.47032446266955,0.452,0.099,0,"Radial glia","BMPR1B",0.872024535322352
0,2.29907603487405,0.496,0.124,0,"Radial glia","CELSR1",0.855256284973148
0,2.2951184141309,0.496,0.124,0,"Radial glia","MYO3A",0.853784050056693
0,1.96219356129045,0.629,0.203,0,"Radial glia","LRIG1",0.835894457109732
0,2.24080898797112,0.498,0.13,0,"Radial glia","MOB3B",0.82461770757337
0,1.86157287738716,0.659,0.221,0,"Radial glia","TCF7L1",0.815368920295577
0,1.89102775555062,0.661,0.232,0,"Radial glia","SPATA13",0.811250907131217
0,1.7811272650831,0.773,0.319,0,"Radial glia","SFRP1",0.80863177834773
0,1.65357771488287,0.894,0.411,0,"Radial glia","HMGA2",0.798678036288426
0,2.00539600932048,0.589,0.191,0,"Radial glia","ZFP36L1",0.798147611709549
0,1.91805116460986,0.609,0.202,0,"Radial glia","FGFR2",0.780646823996213
0,2.23352720870915,0.507,0.158,0,"Radial glia","THSD4",0.779500995839495
0,2.51990103388796,0.4,0.091,0,"Radial glia","IQGAP2",0.778649419471379
0,2.14314700902853,0.503,0.141,0,"Radial glia","NOTCH2",0.775819217268328
0,4.02321929097113,0.536,0.05,0,"IPC-EN","EBF2",1.95528457541197
0,3.49102660954751,0.45,0.06,0,"IPC-EN","EYA2",1.36150037772353
0,3.45945233904942,0.374,0.049,0,"IPC-EN","EOMES",1.12432201019106
0,3.22178735189438,0.293,0.045,0,"IPC-EN","PHLDB2",0.799003263269807
0,2.89903517471288,0.33,0.06,0,"IPC-EN","AC004852.2",0.782739497172478
0,1.56883120523189,0.819,0.376,0,"IPC-EN","PLXNA2",0.694992223917726
0,1.71373778779452,0.707,0.316,0,"IPC-EN","ELAVL2",0.670071475027658
0,2.39387006892945,0.365,0.094,0,"IPC-EN","DLL3",0.648738788679881
0,2.15459329965633,0.382,0.115,0,"IPC-EN","LZTS1",0.57527641100824
0,2.49738032012635,0.272,0.067,0,"IPC-EN","ZBTB16",0.511962965625901
0,1.45772701574212,0.81,0.464,0,"IPC-EN","NFIA-AS2",0.504373547446773
