"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","score"
0,3.94533180431549,0.528,0.08,0,"EN-Newborn","FRMD4B",1.76750864833334
2.51237777481956e-229,2.97418010967758,0.694,0.217,9.16641031142915e-225,"EN-Newborn","ZBTB20",1.41868391231621
4.41488082578305e-216,3.27437971472722,0.568,0.141,1.61076926928694e-211,"EN-Newborn","PRSS12",1.39816013818852
5.402676155791e-189,2.8014573282687,0.611,0.188,1.97116639544035e-184,"EN-Newborn","STK32B",1.18501644985766
1.56740139139918e-164,2.86949728678446,0.609,0.216,5.7186639765199e-160,"EN-Newborn","KIF26B",1.12771243370629
5.98192332478971e-162,2.94909756430602,0.495,0.132,2.18250472504953e-157,"EN-Newborn","BMPR1B",1.07052241584308
3.21424456315338e-108,3.07839637356953,0.424,0.135,1.17271712886651e-103,"EN-Newborn","DNAH10",0.889656551961595
5.54371472337389e-188,2.15698016630549,0.778,0.367,2.02262431682296e-183,"EN-Newborn","CCBE1",0.886518848351555
3.08995813334242e-119,3.14148166531184,0.343,0.079,1.12737122494998e-114,"EN-Newborn","AC117461.1",0.829351159642327
5.27383405839456e-130,3.87360232421833,0.247,0.038,1.92415835620525e-125,"EN-Newborn","VCAN",0.80958288576163
2.02277949920334e-120,3.51095463971714,0.285,0.055,7.38011100284337e-116,"EN-Newborn","FGFR2",0.807519567134942
1.8701104558413e-95,2.6505308558858,0.449,0.164,6.82309799813699e-91,"EN-Newborn","AC004158.1",0.755401293927453
2.05923388508264e-115,3.13983362356569,0.285,0.055,7.51311482972401e-111,"EN-Newborn","ADARB2",0.722161733420109
1.06323274919839e-200,1.90472109159884,0.855,0.499,3.87920468545033e-196,"EN-Newborn","MEIS2",0.678080708609186
3.27241879747667e-109,4.29759709418056,0.156,0.018,1.19394199825936e-104,"EN-Newborn","HMCN1",0.593068398996917
1.20048185946957e-67,2.11438668148044,0.403,0.16,4.37995806427474e-63,"EN-Newborn","SPON1",0.513795963599747
5.60408432623178e-74,2.03607475661909,0.516,0.268,2.04465016642566e-69,"EN-Newborn","ZNF608",0.504946539641535
8.04642265138876e-66,2.03552533372244,0.449,0.204,2.93573730435919e-61,"EN-Newborn","NCKAP5",0.498703706761997
3.9689407814106e-201,1.57156338388442,0.89,0.575,1.44806804409766e-196,"EN-Newborn","ROBO1",0.495042465923592
1.12834939293354e-63,1.98812436254428,0.466,0.228,4.11678276011802e-59,"EN-Newborn","MDGA1",0.473173598285539
4.48328597710115e-52,2.42129225003253,0.333,0.138,1.63572688874536e-47,"EN-Newborn","FIGN",0.472151988756343
1.65168058692064e-72,1.93170799721689,0.543,0.304,6.02615662137996e-68,"EN-Newborn","SEMA3C",0.461678211334836
1.01097915053054e-47,2.56025080228038,0.277,0.103,3.68855743071069e-43,"EN-Newborn","ARHGAP18",0.445483639596786
6.802566531898e-51,2.30394383229177,0.314,0.122,2.48191639916299e-46,"EN-Newborn","NHSL1",0.442357215800019
6.14210278514249e-167,1.34921583343893,0.875,0.55,2.24094620115924e-162,"EN-Newborn","CDH13",0.438495145867652
2.87468378797302e-60,3.55240946749004,0.152,0.029,1.04882838004196e-55,"EN-Newborn","VASH2",0.436946364501275
1.25361607584609e-50,2.17352518603969,0.362,0.161,4.57381825272446e-46,"EN-Newborn","LINC01965",0.436878562393978
6.67968887887492e-72,3.63102935428465,0.141,0.022,2.43708448745751e-67,"EN-Newborn","PRDM16",0.432092493159873
