"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","score"
0,6.20579598185366,0.669,0.019,0,"Radial glia","TNC",4.03376738820488
0,4.92731150534477,0.853,0.064,0,"Radial glia","SLC1A3",3.88764877771702
0,5.19927470150768,0.767,0.058,0,"Radial glia","NEAT1",3.68628576336895
0,5.28884756644221,0.706,0.039,0,"Radial glia","LRIG1",3.52766132681696
0,5.54658571588037,0.65,0.022,0,"Radial glia","CHD7",3.48325582957287
1.12947098552638e-306,4.59341164661666,0.822,0.07,4.12087489069301e-302,"Radial glia","FBXL7",3.45424555825573
4.18064686642676e-300,4.97017028099378,0.663,0.043,1.5253090092158e-295,"Radial glia","EGFR",3.08150557421614
0,6.40638123920416,0.491,0.012,0,"Radial glia","STON2",3.06865661357879
1.19832667242992e-304,4.97907634891104,0.656,0.042,4.37209486436055e-300,"Radial glia","PARD3B",3.05715287823138
0,6.11412125303634,0.485,0.012,0,"Radial glia","ATP1A2",2.89197935268619
0,6.66827412913601,0.436,0.008,0,"Radial glia","YAP1",2.85402132727021
0,5.57730387613642,0.515,0.019,0,"Radial glia","SOX2",2.76634272256366
2.57957809959904e-242,3.99741111477545,0.742,0.069,9.41159069638709e-238,"Radial glia","SOX6",2.69025768024387
0,5.59033322315993,0.497,0.02,0,"Radial glia","PON2",2.66658894744729
0,5.40527444518254,0.515,0.023,0,"Radial glia","DEC1",2.65939502702981
0,5.68323408171207,0.485,0.018,0,"Radial glia","ZFP36L1",2.65407031615954
4.52925162150011e-218,4.78189121121544,0.601,0.05,1.65249745410431e-213,"Radial glia","SEMA5A",2.63482205737971
0,7.06214126549315,0.368,0.006,0,"Radial glia","LINC01515",2.55649513810852
2.97092762648658e-276,5.41091397095407,0.472,0.022,1.08394294452363e-271,"Radial glia","PLPP3",2.43491128692933
1.79764100396078e-257,4.96080214637281,0.515,0.029,6.55869320295091e-253,"Radial glia","ZNF521",2.41094984313718
3.10393367210599e-160,3.66542139612906,0.791,0.135,1.13247020026787e-155,"Radial glia","ZEB1",2.40451643586067
1.35184932054362e-180,4.51908165731557,0.583,0.058,4.9322222460034e-176,"Radial glia","SPATA6",2.37251787009067
0,6.17829473486842,0.393,0.009,0,"Radial glia","RFTN2",2.37246517818947
3.1858451941161e-185,4.50905784574195,0.577,0.055,1.16235561907326e-180,"Radial glia","ATP13A4",2.3537281954773
